nine_ts_title,nine_ts_artist,nine_album,nine_ts_playlist,nine_ts_type,nine_ISRC,nine_ts_year,nine_ts_genre
Don’t Feel Like Crying,Sigrid,Don't Feel Like Crying,Top Hits of 2019,Playlist track,GBUM71807541,,
Ladbroke Grove,AJ Tracey,AJ Tracey,Top Hits of 2019,Playlist track,UKQNW1800013,,
Wow.,Post Malone,Hollywood's Bleeding,Top Hits of 2019,Playlist track,USUM71822626,,
What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),Top Hits of 2019,Playlist track,GBUM71900909,,
Lover,Taylor Swift,Lover,Top Hits of 2019,Playlist track,USUG11901473,,
lovely (with Khalid),Billie Eilish,lovely (with Khalid),Top Hits of 2019,Playlist track,USUM71804190,,
Kill This Love,BLACKPINK,KILL THIS LOVE,Top Hits of 2019,Playlist track,KRA401900005,,
Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,Top Hits of 2019,Playlist track,USCM51900318,,
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),Top Hits of 2019,Playlist track,GBARL1801571,,
Pure Water (with Migos),Mustard,Perfect Ten,Top Hits of 2019,Playlist track,USUM71823137,,
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,Top Hits of 2019,Playlist track,USAT21812918,,
Goodbyes (Feat. Young Thug),Post Malone,Goodbyes (Feat. Young Thug),Top Hits of 2019,Playlist track,USUM71912330,,
China,Anuel AA,China,Top Hits of 2019,Playlist track,QM6P41952433,,
Vossi Bop,Stormzy,Vossi Bop,Top Hits of 2019,Playlist track,GBAHS1900571,,
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Top Hits of 2019,Playlist track,USUM71815958,,
You Need To Calm Down,Taylor Swift,Lover,Top Hits of 2019,Playlist track,USUG11901470,,
Look Back at It,A Boogie Wit da Hoodie,Hoodie SZN,Top Hits of 2019,Playlist track,USAT21812667,,
If I Can't Have You,Shawn Mendes,If I Can't Have You,Top Hits of 2019,Playlist track,USUM71907349,,
Soltera - Remix,Lunay,Épico,Top Hits of 2019,Playlist track,USA2P1927909,,
SICKO MODE,Travis Scott,ASTROWORLD,Top Hits of 2019,Playlist track,USSM11806660,,
Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project,Top Hits of 2019,Playlist track,GBAHS1900885,,
Going Bad (feat. Drake),Meek Mill,Championships,Top Hits of 2019,Playlist track,USAT21812710,,
