Track name, Artist name, Album, Playlist name, Type, ISRC
Love Yourself,Justin Bieber,Purpose (Deluxe),Top Hits of 2016,Playlist track,USUM71516761
One Dance,Drake,Views,Top Hits of 2016,Playlist track,USCM51600028
Sorry,Beyoncé,Lemonade,Top Hits of 2016,Playlist track,USSM11603178
Closer,The Chainsmokers,Closer,Top Hits of 2016,Playlist track,USQX91601347
Hello,Adele,Hello,Top Hits of 2016,Playlist track,GBBKS1500214
Panda,Desiigner,New English,Top Hits of 2016,Playlist track,USUM71601094
Needed Me,Rihanna,ANTI (Deluxe),Top Hits of 2016,Playlist track,QM5FT1600118
Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul),Top Hits of 2016,Playlist track,USRC11600201
Stressed Out,Twenty One Pilots,Blurryface,Top Hits of 2016,Playlist track,USAT21500597
Work,Rihanna,ANTI (Deluxe),Top Hits of 2016,Playlist track,QM5FT1600116
Hurts So Good,Astrid S,Hurts So Good,Top Hits of 2016,Playlist track,NOUM71600848
Sorry,Justin Bieber,Purpose (Deluxe),Top Hits of 2016,Playlist track,USUM71516760
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Top Hits of 2016,Playlist track,USRC11600876
Never Be Like You,Flume,Skin,Top Hits of 2016,Playlist track,AUFF01500784
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),Top Hits of 2016,Playlist track,GBARL1501370
Cool Girl,Tove Lo,Cool Girl,Top Hits of 2016,Playlist track,SEUM71601198
Pink + White,Frank Ocean,Blonde,Top Hits of 2016,Playlist track,QZ5C81600003
Into You,Ariana Grande,Dangerous Woman,Top Hits of 2016,Playlist track,USUM71601827
Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Top Hits of 2016,Playlist track,GBK3W1500426
Say It,Flume,Skin,Top Hits of 2016,Playlist track,AUFF01600799
Hotter Than Hell,Dua Lipa,Dua Lipa (Deluxe),Top Hits of 2016,Playlist track,GBAHT1600182
Close,Nick Jonas,Last Year Was Complicated,Top Hits of 2016,Playlist track,USUM71602394
Don't,Bryson Tiller,T R A P S O U L,Top Hits of 2016,Playlist track,USRC11501051
Gold,Kiiara,Gold,Top Hits of 2016,Playlist track,USAT21503773
Dangerous Woman,Ariana Grande,Dangerous Woman,Top Hits of 2016,Playlist track,USUM71601826
Not Nice,PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),Top Hits of 2016,Playlist track,USWB11601391
Too Good,Drake,Views,Top Hits of 2016,Playlist track,USCM51600088
Sex,Cheat Codes,Sex,Top Hits of 2016,Playlist track,NLZ541600026
Say It,Tory Lanez,I Told You,Top Hits of 2016,Playlist track,USUM71510633
Exchange,Bryson Tiller,T R A P S O U L,Top Hits of 2016,Playlist track,USRC11502185
PILLOWTALK,ZAYN,PILLOWTALK,Top Hits of 2016,Playlist track,USRC11600042
You & Me,Marc E. Bassy,You & Me,Top Hits of 2016,Playlist track,USUM71603788
Sexual,NEIKED,Sexual,Top Hits of 2016,Playlist track,GBKPL1667537
The Girl Is Mine feat. Destiny's Child & Brandy,99 Souls,The Girl Is Mine featuring Destiny's Child & Brandy (Remixes) - EP,Top Hits of 2016,Playlist track,GBARL1501500
Controlla,Drake,Views,Top Hits of 2016,Playlist track,USCM51600080
Here,Alessia Cara,Know-It-All (Deluxe),Top Hits of 2016,Playlist track,USUM71506251
I'm In Control,AlunaGeorge,I'm In Control,Top Hits of 2016,Playlist track,GBUM71507516
Back To Sleep,Chris Brown,Royalty (Deluxe Version),Top Hits of 2016,Playlist track,USRC11502944
Hands To Myself,Selena Gomez,Revival (Deluxe),Top Hits of 2016,Playlist track,USUM71513592
LUV,Tory Lanez,I Told You,Top Hits of 2016,Playlist track,USUM71604428
Lush Life,Zara Larsson,Lush Life,Top Hits of 2016,Playlist track,SEWEE1500509
Middle,DJ Snake,Encore,Top Hits of 2016,Playlist track,USUM71515784
Tears (feat. Louisa Johnson),Clean Bandit,Tears (feat. Louisa Johnson),Top Hits of 2016,Playlist track,GBAHS1600232
Side To Side,Ariana Grande,Dangerous Woman,Top Hits of 2016,Playlist track,USUM71602107
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,7/27 (Deluxe),Top Hits of 2016,Playlist track,USSM11601121
Never Forget You,MNEK,Never Forget You,Top Hits of 2016,Playlist track,GBUM71504509
Final Song,MØ,Final Song,Top Hits of 2016,Playlist track,GBARL1600463
This Is What You Came For (feat. Rihanna),Calvin Harris,This Is What You Came For (feat. Rihanna),Top Hits of 2016,Playlist track,GBARL1600460
Starboy,The Weeknd,Starboy,Top Hits of 2016,Playlist track,USUG11600976
Roses,The Chainsmokers,Roses,Top Hits of 2016,Playlist track,USQX91500801
Alarm,Anne-Marie,Alarm,Top Hits of 2016,Playlist track,GBAHS1600223
"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",Top Hits of 2016,Playlist track,QM3EH1500005
Shout Out to My Ex,Little Mix,Glory Days: The Platinum Edition,Top Hits of 2016,Playlist track,GBHMU1600060
History,Olivia Holt,Olivia,Top Hits of 2016,Playlist track,USHR11637258
Girls Like (feat. Zara Larsson),Tinie Tempah,Girls Like (feat. Zara Larsson),Top Hits of 2016,Playlist track,GB7TP1500034
Same Old Love,Selena Gomez,Revival (Deluxe),Top Hits of 2016,Playlist track,USUM71510437
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),Top Hits of 2016,Playlist track,USSM11600251
Starving,Hailee Steinfeld,HAIZ,Top Hits of 2016,Playlist track,USUM71606368
In the Name of Love,Martin Garrix,In the Name of Love,Top Hits of 2016,Playlist track,NLM5S1600003
Low Life (feat. The Weeknd),Future,EVOL,Top Hits of 2016,Playlist track,USSM11600557
Cold Water (feat. Justin Bieber & MØ),Major Lazer,Cold Water (feat. Justin Bieber & MØ),Top Hits of 2016,Playlist track,QMUY41600027
You Don't Own Me (feat. G-Eazy),SAYGRACE,FMA,Top Hits of 2016,Playlist track,USRC11500344
Papercuts (feat. Vera Blue),Illy,Papercuts (feat. Vera Blue),Top Hits of 2016,Playlist track,AUWA01600211
Ophelia,The Lumineers,Ophelia,Top Hits of 2016,Playlist track,USDMG1673802
Hide Away,Daya,"Sit Still, Look Pretty",Top Hits of 2016,Playlist track,QM4ZV1500057
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),Top Hits of 2016,Playlist track,USUM71506811
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Peace Is The Mission: Extended,Top Hits of 2016,Playlist track,QMUY41500182
Sweet Lovin' - Radio Edit,Sigala,Sweet Lovin',Top Hits of 2016,Playlist track,GBCEN1501213
Pop Style,Drake,Views,Top Hits of 2016,Playlist track,USCM51600086
Let Me Love You,DJ Snake,Encore,Top Hits of 2016,Playlist track,QMZSY1600015
No Money,Galantis,No Money,Top Hits of 2016,Playlist track,USAT21600941
I Fall Apart,Post Malone,Stoney,Top Hits of 2016,Playlist track,USUM71614475
What Do You Mean?,Justin Bieber,Purpose (Deluxe),Top Hits of 2016,Playlist track,USUM71511919
Stay (feat. Maty Noyes),Kygo,Stay (feat. Maty Noyes),Top Hits of 2016,Playlist track,SEBGA1500364
Hotline Bling,Drake,Views,Top Hits of 2016,Playlist track,USCM51500238
Just Hold On,Steve Aoki,Just Hold On,Top Hits of 2016,Playlist track,USUS11600503
Perfect Strangers,Jonas Blue,Perfect Strangers,Top Hits of 2016,Playlist track,GBUM71602437
White Iverson,Post Malone,Stoney (Deluxe),Top Hits of 2016,Playlist track,USUM71511528
I Know What You Did Last Summer,Shawn Mendes,Handwritten,Top Hits of 2016,Playlist track,USUM71516597
My Way,Calvin Harris,My Way,Top Hits of 2016,Playlist track,GBARL1601358
NO,Meghan Trainor,Thank You (Deluxe Version),Top Hits of 2016,Playlist track,USSM11600935
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"At Night, Alone.",Top Hits of 2016,Playlist track,USUM71509342
Can I Be Him,James Arthur,Back from the Edge,Top Hits of 2016,Playlist track,DEE861600588
This Girl - Kungs Vs. Cookin' On 3 Burners,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),Top Hits of 2016,Playlist track,FR9W11601798
Stole the Show,Kygo,Stole the Show,Top Hits of 2016,Playlist track,SEBGA1500071
Once In a While,Timeflies,Once In a While,Top Hits of 2016,Playlist track,TCACL1659817
All Time Low,Jon Bellion,The Human Condition,Top Hits of 2016,Playlist track,USUM71603666
Fast Car,Jonas Blue,Fast Car,Top Hits of 2016,Playlist track,GBUM71507621
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,Top Hits of 2016,Playlist track,USAT21502909
The Ocean (feat. Shy Martin),Mike Perry,The Ocean (feat. Shy Martin),Top Hits of 2016,Playlist track,SE3AA1600005
"i hate u, i love u (feat. olivia o'brien)",gnash,us,Top Hits of 2016,Playlist track,USAT21601051
History,One Direction,Made In The A.M. (Deluxe Edition),Top Hits of 2016,Playlist track,GBHMU1500114
The Greatest (feat. Kendrick Lamar),Sia,This Is Acting (Deluxe Version),Top Hits of 2016,Playlist track,USRC11601332
Send My Love (To Your New Lover),Adele,25,Top Hits of 2016,Playlist track,GBBKS1500215
Fresh Eyes,Andy Grammer,Fresh Eyes,Top Hits of 2016,Playlist track,QMRSZ1600579
Love Me Now,John Legend,Love Me Now,Top Hits of 2016,Playlist track,USSM11606983
Don't Mind,Kent Jones,Don't Mind,Top Hits of 2016,Playlist track,USSM11603011
Cake By The Ocean,DNCE,DNCE,Top Hits of 2016,Playlist track,USUM71514637
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,Big Baby DRAM,Top Hits of 2016,Playlist track,USUYG1098775
Jumpman,Drake,What A Time To Be Alive,Top Hits of 2016,Playlist track,USCM51500300
