Genres
Alternative
Anime
Blues
Children’s Music
Classical
Comedy
Country
Dance 
Disney
Easy Listening
Electronic
Enka
French Pop
German Folk
German Pop
Fitness & Workout
Hip-Hop/Rap
Holiday
Indie Pop
Industrial
Inspirational – Christian & Gospel
Instrumental
J-Pop 
Jazz
K-Pop (also under ‘Asian’)
Karaoke
Kayokyoku
Latin
Metal
New Age
Opera
Pop
R&B/Soul
Reggae
Rock
Singer/Songwriter
Soundtrack
Spoken Word
Tex-Mex / Tejano
Vocal
World
