r_freq,r_signal,r_location,r_schools,r_format
KGBN,1190 AM,"Anaheim, CA",,Asian
KTMZ,1220 AM,"Pomona, CA",,Spanish Sports
KYPA,1230 AM,"Los Angeles, CA",,Asian
KSUR,1260 AM,"Beverly Hills, CA",,Classic Hits
KFRN,1280 AM,"Long Beach, CA",,Religious
KAZN,1300 AM,"Pasadena, CA",,Asian
KWKW,1330 AM,"Los Angeles, CA",,Spanish Sports
KLSD,1360 AM,"San Diego, CA",,Sports
KLTX,1390 AM,"Long Beach, CA",,Spanish Christian
KUNX,1400 AM,"Santa Paula, CA",,Regional Mexican
KMRB,1430 AM,"San Gabriel, CA",,Asian
KTYM,1460 AM,"Inglewood, CA",,Spanish Christian
KUTY (CP),1470 AM,"Palmdale, CA",,Regional Mexican
KVNR,1480 AM,"Santa Ana, CA",,Asian
KKZZ,1520 AM,"Port Hueneme, CA",,Spanish News
KMPC,1540 AM,"Los Angeles, CA",,Asian
KBLA,1580 AM,"Santa Monica, CA",,Spanish Christian
KAHZ,1600 AM,"Pomona, CA",,Asian
XEUT,1630 AM,"Tijuana, BN",,Spanish
KFOX,1650 AM,"Torrance, CA",,Asian
