Track name, Artist name, Album, Playlist name, Type, ISRC
Shape of You,Ed Sheeran,÷ (Deluxe),Top Hits of 2017,Playlist track,GBAHS1600463
Despacito (Featuring Daddy Yankee),Luis Fonsi,Despacito (Featuring Daddy Yankee),Top Hits of 2017,Playlist track,USUM71607007
That's What I Like,Bruno Mars,24K Magic,Top Hits of 2017,Playlist track,USAT21602948
Something Just Like This,The Chainsmokers,Memories...Do Not Open,Top Hits of 2017,Playlist track,USQX91700278
Love Galore (feat. Travis Scott),SZA,Ctrl,Top Hits of 2017,Playlist track,USRC11700886
Slide (feat. Frank Ocean & Migos),Calvin Harris,Slide (feat. Frank Ocean & Migos),Top Hits of 2017,Playlist track,GBARL1700262
HUMBLE.,Kendrick Lamar,DAMN.,Top Hits of 2017,Playlist track,USUM71703085
Lust for Life (with The Weeknd),Lana Del Rey,Lust for Life (with The Weeknd),Top Hits of 2017,Playlist track,GBUM71701127
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,Top Hits of 2017,Playlist track,QMCE31600796
Sky Walker (feat. Travis Scott),Miguel,War & Leisure,Top Hits of 2017,Playlist track,USRC11701703
Congratulations,Post Malone,Stoney (Deluxe),Top Hits of 2017,Playlist track,USUM71614484
Don't Leave,Snakehips,Don't Leave,Top Hits of 2017,Playlist track,GBARL1601799
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,Top Hits of 2017,Playlist track,USAT21703440
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,Top Hits of 2017,Playlist track,USUM71703088
Passionfruit,Drake,More Life,Top Hits of 2017,Playlist track,USCM51700072
Unforgettable,French Montana,Jungle Rules,Top Hits of 2017,Playlist track,USSM11703478
It's A Vibe,2 Chainz,Pretty Girls Like Trap Music,Top Hits of 2017,Playlist track,USUM71701465
do re mi,blackbear,digital druglord,Top Hits of 2017,Playlist track,USLD91700850
Green Light,Lorde,Melodrama,Top Hits of 2017,Playlist track,NZUM71700063
