Track name, Artist name, Album, Playlist name, Type, ISRC
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Grateful,Top Hits of 2017,Playlist track,USSM11705088
No Promises (feat. Demi Lovato),Cheat Codes,No Promises (feat. Demi Lovato),Top Hits of 2017,Playlist track,QMCE31700953
No Lie,Sean Paul,Mad Love The Prequel,Top Hits of 2017,Playlist track,GBUM71604557
Hurtin' Me,Stefflon Don,Hurtin' Me,Top Hits of 2017,Playlist track,GBUM71703549
Love On The Brain,Rihanna,ANTI,Top Hits of 2017,Playlist track,QM5FT1600120
Sorry Not Sorry,Demi Lovato,Tell Me You Love Me (Deluxe),Top Hits of 2017,Playlist track,USUM71707196
Now Or Never,Halsey,hopeless fountain kingdom (Deluxe),Top Hits of 2017,Playlist track,USUM71701077
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,Top Hits of 2017,Playlist track,USSM11607555
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),Top Hits of 2017,Playlist track,QMCE31700923
IDGAF,Dua Lipa,Dua Lipa (Deluxe),Top Hits of 2017,Playlist track,GBAHT1600301
Ain't My Fault,Zara Larsson,So Good,Top Hits of 2017,Playlist track,USSM11607151
Location,Khalid,American Teen,Top Hits of 2017,Playlist track,TCACO1662934
Caroline,Aminé,Good For You,Top Hits of 2017,Playlist track,USCGH1697037
BUTTERFLY EFFECT,Travis Scott,BUTTERFLY EFFECT,Top Hits of 2017,Playlist track,USSM11704799
All Night,The Vamps,Night & Day (Night Edition),Top Hits of 2017,Playlist track,GBUM71605342
Malibu,Miley Cyrus,Younger Now,Top Hits of 2017,Playlist track,USRC11700814
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Top Hits of 2017,Playlist track,USUM71709685
Came Here for Love,Sigala,Came Here for Love,Top Hits of 2017,Playlist track,GBCEN1700157
Redbone,Childish Gambino,"""Awaken, My Love!""",Top Hits of 2017,Playlist track,USYAH1600107
Touch,Little Mix,Touch,Top Hits of 2017,Playlist track,GBHMU1700007
Chameleon,PNAU,Chameleon,Top Hits of 2017,Playlist track,AUNV01600642
New Rules,Dua Lipa,Dua Lipa (Deluxe),Top Hits of 2017,Playlist track,GBAHT1600310
Bodak Yellow,Cardi B,Bodak Yellow,Top Hits of 2017,Playlist track,USAT21701762
Side To Side,Ariana Grande,Dangerous Woman,Top Hits of 2017,Playlist track,USUM71602107
One Dance,Drake,Views,Top Hits of 2017,Playlist track,USCM51600028
Call on Me - Ryan Riback Remix,Starley,Call On Me (Remixes),Top Hits of 2017,Playlist track,AUCN31209086
Most Girls,Hailee Steinfeld,Most Girls,Top Hits of 2017,Playlist track,USUM71703935
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,Top Hits of 2017,Playlist track,NLM5S1600025
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,Funk Wav Bounces Vol.1,Top Hits of 2017,Playlist track,GBARL1700772
I Would Like,Zara Larsson,So Good,Top Hits of 2017,Playlist track,USSM11609249
2U (feat. Justin Bieber),David Guetta,2U (feat. Justin Bieber),Top Hits of 2017,Playlist track,GB28K1700019
Starboy,The Weeknd,Starboy,Top Hits of 2017,Playlist track,USUG11600976
Middle Of The Night,The Vamps,Night & Day (Night Edition),Top Hits of 2017,Playlist track,GBUM71701537
Losin Control,Russ,There's Really A Wolf,Top Hits of 2017,Playlist track,USSM11606199
No Limit,G-Eazy,No Limit,Top Hits of 2017,Playlist track,USRC11702117
Mi Gente,J Balvin,Mi Gente,Top Hits of 2017,Playlist track,FR22F1701790
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Top Hits of 2017,Playlist track,USWB11700237
Fake Love,Drake,More Life,Top Hits of 2017,Playlist track,USCM51700084
Rake It Up (feat. Nicki Minaj),Yo Gotti,I Still Am,Top Hits of 2017,Playlist track,USSM11705366
Friends (with BloodPop®),Justin Bieber,Friends (with BloodPop®),Top Hits of 2017,Playlist track,USUM71709101
I Feel It Coming,The Weeknd,Starboy,Top Hits of 2017,Playlist track,USUG11601012
Dusk Till Dawn - Radio Edit,ZAYN,Dusk Till Dawn (Radio Edit),Top Hits of 2017,Playlist track,USRC11702155
Stay,Zedd,Stay,Top Hits of 2017,Playlist track,USUM71700736
Silence,Marshmello,Silence,Top Hits of 2017,Playlist track,USRC11701901
...Ready For It?,Taylor Swift,reputation,Top Hits of 2017,Playlist track,USCJY1750003
Breathe,Jax Jones,Breathe,Top Hits of 2017,Playlist track,GBUM71706192
First Time,Kygo,First Time,Top Hits of 2017,Playlist track,SEBGA1700113
Strip That Down,Liam Payne,Strip That Down,Top Hits of 2017,Playlist track,GBUM71701628
Issues,Julia Michaels,Nervous System,Top Hits of 2017,Playlist track,USUM71615691
Lonely Together (feat. Rita Ora),Avicii,AVĪCI (01),Top Hits of 2017,Playlist track,SE5R71700108
Solo Dance,Martin Jensen,Solo Dance,Top Hits of 2017,Playlist track,DK4YA1610901
Young Dumb & Broke,Khalid,American Teen,Top Hits of 2017,Playlist track,USRC11700144
You Don't Know Me - Radio Edit,Jax Jones,You Don't Know Me,Top Hits of 2017,Playlist track,GBUM71606456
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),Top Hits of 2017,Playlist track,USUM71506811
Him & I,G-Eazy,Him & I,Top Hits of 2017,Playlist track,USRC11701867
Symphony (feat. Zara Larsson),Clean Bandit,So Good,Top Hits of 2017,Playlist track,GBAHS1700199
September Song,JP Cooper,Raised Under Grey Skies (Deluxe),Top Hits of 2017,Playlist track,GBUM71604513
Save That Shit,Lil Peep,"Come Over When You're Sober, Pt. 1",Top Hits of 2017,Playlist track,UKELY1700052
Swang,Rae Sremmurd,SremmLife 2 (Deluxe),Top Hits of 2017,Playlist track,USUM71603303
Magnolia,Playboi Carti,Playboi Carti,Top Hits of 2017,Playlist track,USUM71703095
Reggaetón Lento (Remix),CNCO,Glory Days: The Platinum Edition,Top Hits of 2017,Playlist track,GBHMU1700053
I Fall Apart,Post Malone,Stoney (Deluxe),Top Hits of 2017,Playlist track,USUM71614475
Anywhere,Rita Ora,Anywhere,Top Hits of 2017,Playlist track,GBAHS1701111
Plain Jane,A$AP Ferg,Still Striving,Top Hits of 2017,Playlist track,USRC11701803
Attention,Charlie Puth,Attention,Top Hits of 2017,Playlist track,USAT21700928
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),Top Hits of 2017,Playlist track,USQ4E1602586
Wolves,Selena Gomez,Wolves,Top Hits of 2017,Playlist track,USUM71712103
Your Song,Rita Ora,Your Song,Top Hits of 2017,Playlist track,GBAHT1700323
Praying,Kesha,Praying,Top Hits of 2017,Playlist track,USRC11701134
Ciao Adios,Anne-Marie,Ciao Adios,Top Hits of 2017,Playlist track,GBAHS1700195
Bounce Back,Big Sean,I Decided.,Top Hits of 2017,Playlist track,USUM71614503
More Than You Know,Axwell /\ Ingrosso,More Than You Know,Top Hits of 2017,Playlist track,GBUM71701735
It Ain't Me (with Selena Gomez),Kygo,It Ain't Me (with Selena Gomez),Top Hits of 2017,Playlist track,SEBGA1700015
Bad Things (with Camila Cabello),Machine Gun Kelly,bloom,Top Hits of 2017,Playlist track,USUM71609854
Look What You Made Me Do,Taylor Swift,reputation,Top Hits of 2017,Playlist track,USCJY1750000
Criminal,Natti Natasha,Criminal,Top Hits of 2017,Playlist track,USB271700112
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Grateful,Top Hits of 2017,Playlist track,USSM11703300
ELEMENT.,Kendrick Lamar,DAMN.,Top Hits of 2017,Playlist track,USUM71703083
Weak,AJR,The Click,Top Hits of 2017,Playlist track,USKFE1620002
Cold (feat. Future),Maroon 5,Red Pill Blues (Deluxe),Top Hits of 2017,Playlist track,USUM71616357
Mama,Jonas Blue,Jonas Blue: Electronic Nature - The Mix 2017,Top Hits of 2017,Playlist track,GBUM71701777
