Track name, Artist name, Album, Playlist name, Type, ISRC,
For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,Fifty Shades Freed (Original Motion Picture Soundtrack),Top Hits of 2018,Playlist track,USQ4E1703341,
Better Now,Post Malone,beerbongs & bentleys,Top Hits of 2018,Playlist track,USUM71805170,
Breathe,Jax Jones,Breathe,Top Hits of 2018,Playlist track,GBUM71706192,
Tip Toe (feat. French Montana),Jason Derulo,Tip Toe (feat. French Montana),Top Hits of 2018,Playlist track,USWB11702102,
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),Top Hits of 2018,Playlist track,GBAHS1800328,
In My Feelings,Drake,Scorpion,Top Hits of 2018,Playlist track,USCM51800206,
Wait,Maroon 5,Red Pill Blues (Deluxe),Top Hits of 2018,Playlist track,USUM71710370,
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,SR3MM,Top Hits of 2018,Playlist track,USUM71802281,
Him & I (with Halsey),G-Eazy,The Beautiful & Damned,Top Hits of 2018,Playlist track,USRC11701867,
Jumanji,B Young,Jumanji,Top Hits of 2018,Playlist track,TCADI1763759,
I Fall Apart,Post Malone,Stoney (Deluxe),Top Hits of 2018,Playlist track,USUM71614475,
Lullaby,Sigala,Lullaby,Top Hits of 2018,Playlist track,GBCEN1700257,
Freaky Friday (feat. Chris Brown),Lil Dicky,Freaky Friday (feat. Chris Brown),Top Hits of 2018,Playlist track,QMRSZ1800280,
I'll Be There,Jess Glynne,I'll Be There,Top Hits of 2018,Playlist track,GBAHS1800322,
Anywhere,Rita Ora,Anywhere,Top Hits of 2018,Playlist track,GBAHS1701111,
Walk It Talk It,Migos,Culture II,Top Hits of 2018,Playlist track,USUM71800983,
I'm Upset,Drake,Scorpion,Top Hits of 2018,Playlist track,USCM51800121,
Wolves,Selena Gomez,Wolves,Top Hits of 2018,Playlist track,USUM71712103,
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Top Hits of 2018,Playlist track,USWL11700238,
X,Nicky Jam,Intimo,Top Hits of 2018,Playlist track,USSD11800024,
Rise,Jonas Blue,Blue,Top Hits of 2018,Playlist track,GBUM71802109,
Moonlight,XXXTENTACION,?,Top Hits of 2018,Playlist track,USUG11800209,
German,EO,German,Top Hits of 2018,Playlist track,GBARL1800469,
In My Mind,Dynoro,In My Mind,Top Hits of 2018,Playlist track,QZ22B1859046,
Rewrite The Stars,Zac Efron,Rewrite The Stars,Top Hits of 2018,Playlist track,USAT21704623,
Flames,David Guetta,7,Top Hits of 2018,Playlist track,GB28K1800010,
SAD!,XXXTENTACION,?,Top Hits of 2018,Playlist track,USUG11800208,
Happier,Marshmello,Happier,Top Hits of 2018,Playlist track,USUG11801651,
Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,Top Hits of 2018,Playlist track,USUM71710836,
You Make It Easy,Jason Aldean,Rearview Town,Top Hits of 2018,Playlist track,QMRSZ1703135,
How Long,Charlie Puth,Voicenotes,Top Hits of 2018,Playlist track,USAT21702278,
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),Top Hits of 2018,Playlist track,GBUM71704089,
Mo Bamba,Sheck Wes,MUDBOY,Top Hits of 2018,Playlist track,QM24S1703585,
Vaina Loca,Ozuna,Aura,Top Hits of 2018,Playlist track,USXDR1800901,
What Lovers Do (feat. SZA),Maroon 5,Red Pill Blues (Deluxe),Top Hits of 2018,Playlist track,USUM71709292,
Plug Walk,Rich The Kid,The World Is Yours,Top Hits of 2018,Playlist track,USUM71800892,
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,All Your Fault: Pt. 2,Top Hits of 2018,Playlist track,USWB11701181,
Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),Top Hits of 2018,Playlist track,USWB11800211,
changes,XXXTENTACION,?,Top Hits of 2018,Playlist track,USUG11800211,
